date;index;GEOPOLITICS;USGOV_DEF;CHGOV_DEF;EZGOV_DEF;VIX;USDEUR;USDCNY;EURCNY;CNYTRY;GLOBAL_COMMOD;CHGDP;CHCPI;CHGOV_DEF;CHRR;CH10Y;EZGDP;EZCPI;EZRR;EZ10Y;CLIMATE_EQ_INDEX;US10Y;USRR;USGDP;USCPI;TARIFF_USA_CHN;TARIFF_USA_DEU;TARIFF_CHN_USA;TARIFF_CHN_DEU;TARIFF_DEU_USA;TARIFF_DEU_CHN;;;;;;;;
1980.1;1;;30.34;0.00;47.43;;0.71;1.52;2.14;0.00;99.99;;;;;;1561239.75;34.51;8.89;8.88;139.42;11.99;13.94;7341.60;79.03;;;;;;;;;;;;;;
1980.2;2;;31.34;0.00;44.41;;0.72;1.50;2.09;0.00;96.11;;;;;;1553907.90;35.35;9.90;8.71;208.19;10.48;11.74;7190.30;81.70;;;;;;;;;;;;;;
1980.3;3;;32.06;24.69;47.57;;0.70;1.46;2.08;0.00;98.19;;;24.69;;;1553022.04;36.06;8.95;7.99;201.65;10.95;9.09;7181.70;83.23;;;;;;;;;;;;;;
1980.4;4;;31.47;23.87;49.61;;0.75;1.51;2.03;0.00;97.89;;;23.87;;;1553751.92;36.81;9.30;8.64;208.40;12.42;14.73;7315.70;85.57;;;;;;;;;;;;;;
1981.1;5;;31.18;23.44;50.46;;0.81;1.60;1.97;0.00;92.67;754.69;;23.44;5.18;;1555250.69;37.88;10.92;9.61;204.37;12.96;15.40;7459.00;87.93;;;;;;;;;;;;;;
1981.2;6;;31.59;22.83;50.72;;0.90;1.72;1.91;0.00;87.22;771.19;;22.83;5.18;;1559909.96;38.84;12.78;10.30;187.78;13.75;16.52;7403.70;89.77;;;;;;;;;;;;;;
1981.3;7;;31.75;22.37;48.45;;0.97;1.77;1.82;0.00;83.42;787.24;;22.37;5.18;;1564213.28;39.78;12.42;10.56;174.71;14.85;16.47;7492.40;92.27;;;;;;;;;;;;;;
1981.4;8;;32.35;21.89;48.14;;0.92;1.74;1.90;0.00;80.01;804.72;;21.89;5.18;;1567883.71;40.76;10.90;9.96;203.07;14.09;12.67;7410.80;93.77;;;;;;;;;;;;;;
1982.1;9;;33.16;21.93;50.66;;0.96;1.81;1.88;0.00;79.08;820.29;;21.93;5.18;;1574363.70;41.70;9.91;9.67;183.04;14.29;13.28;7295.60;94.60;;;;;;;;;;;;;;
1982.2;10;;33.26;21.36;49.66;;1.00;1.85;1.86;0.00;75.34;839.25;;21.36;5.18;;1576481.37;42.62;9.00;8.98;176.62;13.93;13.51;7328.90;95.97;;;;;;;;;;;;;;
1982.3;11;;34.00;20.71;50.48;;1.05;1.94;1.84;0.00;70.95;859.09;;20.71;5.18;;1568072.68;43.38;8.63;8.99;141.76;13.12;10.25;7300.90;97.63;;;;;;;;;;;;;;
1982.4;12;;34.84;20.02;50.68;;1.07;1.97;1.84;0.00;69.81;879.73;;20.02;5.18;;1568745.58;44.15;6.96;8.22;210.36;10.67;9.00;7303.80;97.93;;;;;;;;;;;;;;
1983.1;13;;34.51;21.77;50.71;;1.05;1.95;1.85;0.00;73.22;905.58;;21.77;8.40;;1579190.94;44.99;5.54;7.61;191.87;10.56;8.54;7400.10;98.00;;;;;;;;;;;;;;
1983.2;14;;34.20;21.91;50.82;;1.10;1.99;1.81;0.00;79.13;928.59;;21.91;8.40;;1589523.33;45.72;5.21;7.77;182.88;10.54;8.79;7568.50;99.13;;;;;;;;;;;;;;
1983.3;15;;33.69;22.06;51.47;;1.16;1.98;1.71;0.00;84.89;953.23;;22.06;8.40;;1593653.68;46.49;5.56;8.36;179.75;11.63;9.44;7719.70;100.10;;;;;;;;;;;;;;
1983.4;16;;32.82;22.16;50.32;;1.19;1.98;1.67;0.00;86.09;976.37;;22.16;8.40;;1611082.95;47.25;6.14;8.33;206.04;11.69;9.38;7880.80;101.10;;;;;;;;;;;;;;
1984.1;17;;32.41;22.73;49.02;;1.20;2.05;1.71;0.00;87.09;1041.19;;22.73;8.40;;1624924.79;48.08;5.81;8.23;282.02;11.94;9.75;8034.80;102.53;;;;;;;;;;;;;;
1984.2;18;;32.32;23.34;51.35;;1.21;2.16;1.78;0.00;87.64;1068.79;;23.34;8.40;;1617245.99;48.71;5.85;8.19;224.48;13.20;10.50;8173.70;103.50;;;;;;;;;;;;;;
1984.3;19;;32.42;23.89;51.63;;1.30;2.40;1.84;0.00;78.48;1098.54;;23.89;8.40;;1633919.38;49.20;5.82;8.08;206.65;12.87;11.25;8252.50;104.40;;;;;;;;;;;;;;
1984.4;20;;32.78;22.02;50.39;;1.37;2.67;1.95;0.00;75.06;1126.01;105.50;22.02;8.40;;1642280.07;49.81;5.78;7.29;279.72;11.74;9.04;8320.20;105.30;;;;;;;;;;;;;;
1985.1;21;114.68;32.62;21.69;52.96;;1.46;2.83;1.93;0.00;73.53;1179.43;107.10;21.69;8.40;;1645971.49;50.63;5.96;7.44;292.67;11.58;8.38;8400.80;106.27;;;;;;;;;;;;;;
1985.2;22;113.32;32.71;21.40;51.24;;1.38;2.85;2.07;0.00;72.87;1212.54;110.20;21.40;8.40;;1661677.04;51.31;5.68;7.19;369.03;10.81;7.92;8474.80;107.23;;;;;;;;;;;;;;
1985.3;23;106.37;32.70;21.10;49.26;;1.27;2.91;2.29;0.00;68.03;1245.59;111.47;21.10;8.40;;1675742.84;51.57;4.80;6.62;573.96;10.34;7.85;8604.20;107.90;;;;;;;;;;;;;;
1985.4;24;99.09;32.76;20.87;50.27;;1.17;3.16;2.70;0.00;68.24;1275.76;110.50;20.87;8.40;;1685733.27;51.97;4.69;6.54;555.98;9.76;7.92;8668.20;109.00;;;;;;;;;;;;;;
1986.1;25;110.93;32.72;20.57;49.96;;1.08;3.21;2.96;0.00;71.99;1285.89;106.87;20.57;8.40;;1679983.17;52.37;4.44;6.10;840.06;8.56;7.58;8749.10;109.57;;;;;;;;;;;;;;
1986.2;26;120.67;33.11;20.22;50.52;;1.04;3.20;3.07;0.00;68.84;1321.71;104.07;20.22;9.48;;1710786.35;52.59;4.43;5.66;952.19;7.60;6.81;8788.50;109.03;;;;;;;;;;;;;;
1986.3;27;105.05;33.22;19.82;50.25;;0.99;3.68;3.73;0.00;65.26;1355.32;104.63;19.82;9.48;;1719476.99;52.71;4.44;5.73;1566.82;7.31;6.04;8872.60;109.70;;;;;;;;;;;;;;
1986.4;28;98.77;33.08;19.32;51.44;;0.96;3.72;3.86;0.00;65.72;1387.23;106.00;19.32;9.48;3.29;1723734.33;52.93;4.56;6.09;1610.33;7.26;5.88;8920.20;110.47;;;;;;;;;;;;;;
1987.1;29;95.74;32.92;18.76;50.66;;0.89;3.72;4.19;0.00;67.13;1438.79;105.97;18.76;9.48;3.29;1715462.62;53.39;4.03;5.92;1674.92;7.19;6.00;8986.40;111.80;;;;;;;;;;;;;;
1987.2;30;102.08;32.80;18.12;51.51;;0.87;3.72;4.28;0.00;70.34;1478.83;107.73;18.12;9.48;3.36;1744363.10;53.76;3.67;5.66;1416.61;8.34;6.67;9083.30;113.07;;;;;;;;;;;;;;
1987.3;31;106.67;32.56;17.52;51.89;;0.89;3.72;4.20;0.00;73.37;1512.61;107.80;17.52;9.48;3.34;1763096.17;54.04;3.81;6.43;1391.39;8.88;6.90;9162.00;114.27;;;;;;;;;;;;;;
1987.4;32;102.36;32.46;17.03;47.55;;0.82;3.72;4.52;0.00;81.03;1545.58;108.87;17.03;9.48;3.44;1785570.65;54.33;3.98;6.55;1324.30;9.12;6.98;9319.30;115.33;;;;;;;;;;;;;;
1988.1;33;93.20;32.49;16.64;52.56;;0.81;3.72;4.59;0.00;84.70;1604.22;111.30;16.64;9.48;3.45;1795430.11;54.71;3.27;6.32;1502.84;8.42;6.63;9367.50;116.23;;;;;;;;;;;;;;
1988.2;34;101.34;31.99;16.37;50.54;;0.82;3.72;4.53;0.00;92.46;1646.83;116.57;16.37;9.48;3.42;1811935.53;55.12;3.50;6.49;1581.87;8.91;7.15;9490.60;117.57;;;;;;;;;;;;;;
1988.3;35;80.78;31.81;16.19;49.98;;0.90;3.72;4.15;0.00;91.02;1680.90;125.70;16.19;9.48;3.51;1834378.02;55.55;4.91;6.72;1468.85;9.10;7.98;9546.20;119.00;;;;;;;;;;;;;;
1988.4;36;77.55;31.94;16.02;46.62;;0.85;3.72;4.35;0.00;93.17;1714.90;127.37;16.02;9.48;3.58;1851343.36;55.99;4.95;6.43;2436.28;8.96;8.40;9673.40;120.30;;;;;;;;;;;;;;
1989.1;37;89.53;31.93;15.97;50.57;;0.89;3.72;4.19;0.00;93.27;1675.21;127.37;15.97;9.48;3.59;1873089.96;56.71;6.04;6.80;2164.11;9.21;9.50;9771.70;121.67;;;;;;;;;;;;;;
1989.2;38;92.29;32.05;15.95;50.25;;0.93;3.72;4.00;0.00;91.50;1716.75;122.33;15.95;9.48;3.56;1890895.18;57.38;6.60;6.86;1858.71;8.77;9.71;9846.30;123.63;;;;;;;;;;;;;;
1989.3;39;93.16;32.05;15.90;48.71;;0.93;3.72;4.01;0.00;86.51;1750.56;111.80;15.90;10.02;3.60;1902203.41;57.80;6.94;6.76;2019.16;8.11;9.06;9919.20;124.60;;;;;;;;;;;;;;
1989.4;40;91.64;32.34;15.88;46.78;;0.89;3.89;4.40;0.00;83.94;1788.01;106.10;15.88;11.09;3.78;1922024.31;58.34;7.89;7.17;2298.83;7.91;8.50;9938.80;125.87;;;;;;;;;;;;;;
1990.1;41;75.51;32.37;15.79;47.48;22.14;0.83;4.72;5.69;0.00;82.74;1738.65;103.67;15.79;13.42;4.39;1948082.23;59.18;8.07;8.24;1339.43;8.42;8.25;10047.40;128.03;;;;;;;;;;;;;;
1990.2;42;82.58;32.53;15.68;45.89;18.73;0.82;4.72;5.77;0.00;84.03;1782.29;101.63;15.68;14.58;4.73;1956978.84;59.63;8.02;8.69;1409.27;8.68;8.25;10083.90;129.30;;;;;;;;;;;;;;
1990.3;43;174.97;32.68;15.58;45.68;25.12;0.77;4.72;6.12;0.00;84.76;1819.79;102.83;15.58;14.58;4.75;1975128.00;60.18;8.10;8.80;929.68;8.70;8.00;10090.60;131.53;;;;;;;;;;;;;;
1990.4;44;151.92;33.41;15.45;48.27;26.00;0.73;4.97;6.79;0.00;82.05;1863.57;103.40;15.45;14.58;4.82;1986305.25;61.01;8.57;8.92;1355.23;8.40;7.42;9998.70;133.77;;;;;;;;;;;;;;
1991.1;45;289.08;32.74;15.26;50.77;22.51;0.75;5.22;7.00;0.00;81.26;1893.60;101.57;15.26;13.96;4.61;2000032.10;61.51;8.84;8.55;1354.05;8.02;6.33;9951.90;134.77;;;;;;;;;;;;;;
1991.2;46;91.35;33.54;15.05;52.29;17.13;0.84;5.31;6.30;0.00;79.29;1946.59;104.23;15.05;12.70;4.29;2005973.17;62.08;8.78;8.34;1351.65;8.13;5.75;10029.50;135.57;;;;;;;;;;;;;;
